央视频道,#genre#
CCTV-10科教,http://39.135.34.151:18890/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive&Contentid=7019587760656900133&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=7019587760656900133&owchid=ystenlive&owsid=1106497909461152716&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5DtJGdM%2bq9fDiivHNjKl%2bK%2b9%2fvTG5xUEzd4ADPtXjiSOOAPl07bvHVEc1KInbp3p%2fXrmwsjTHZ%2fLcoxEWqnCxI
CCTV-11戏曲,http://39.135.34.157:18890/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000019789&owchid=ystenlive&owsid=1106497909461158507&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhUELVtb8TDQzMSm5TScAJJF9JU4YcW5z4YHYDU6y7yn5EMhEqmI%2fAHiE6j4Y95QQ6
CCTV-12社会与法,http://39.135.34.153:18890/000000001000/5325631075193490169/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=5325631075193490169&owchid=ystenlive&owsid=1106497909461165978&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7Q36zc4fu7NwQ%2fn1v2mTHqagOL8gLhzmY66HLCxgy24bGH5Xn1D6yEQdwViWmtBz15WRKuKxWsf0XH20JE0dby
CCTV-13新闻,http://39.135.34.142:18890/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000021303&owchid=ystenlive&owsid=1106497909461172796&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjht3HVAbnHsmZNUh9hfpXto6CyOW1rkA%2biXZhxwyg0QWyFIN7oKbswdBdf7iWy8vlE#http://web.hls.timetv.cn/mlive/cctv/cctv13hd.m3u8
CCTV-14少儿,http://39.135.34.147:18890/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive&Contentid=8203666801302077036&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=8203666801302077036&owchid=ystenlive&owsid=1106497909461179285&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5OdsPl7aB2c%2fh9IG5fEu5Y1yWuhr6PsL8ovQK5JmdmvjbSpXjguwCa8emDxg5lQPKN6B6go0yKDtys3NmnOM6U
CCTV-15音乐,http://39.135.34.158:18890/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=1106497909461186580&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhY20qRt7%2f617UUdZqFKeX8uE3lV%2bUYqhdkQW8TTtgMeMYnBWivLOAtJKqm6UM8Epy
CCTV-17农村农业,http://39.135.34.140:18890/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=1106497909461196027&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6skxOPttMtBQzbEMb71jMrM9bNA5sjuldmGASVEj1FB1TOzqCEWAK6w%2FJbtYz8kEYu99sUSfTSd48Av%2FzOzjC1

卫视频道,#genre#
湖南卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
湖南卫视高清,http://39.135.34.150:18890/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009115&owchid=ystenlive&owsid=1106497909461209970&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRJ1HPTMtmQf%2bVwcp8RojByB2Rhtn7waHVWUQ9gcJ0mHLEp3xuYtoWp3K%2bdNVn%2bMR4
江苏卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
江苏卫视高清,http://39.135.34.157:18890/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=1106497909461243101&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR80rubnSCCYHmxBfxTMKdNm%2bh%2bLn%2bBGibQYrxMgSwIzfH44Sn0OHT9L7pQFHxSW%2fJ
浙江卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
浙江卫视高清,http://39.135.34.146:18890/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009806&owchid=ystenlive&owsid=1106497909461218392&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRt6tuEx40ruFSJnrbh2BVWwXsEFuvV04XsE9ZOm50Z8cpDzo0JrXSxYrVj73IVRt9
东方卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
东方卫视高清,http://39.135.34.143:18890/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000030202&owchid=ystenlive&owsid=1106497909461236159&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR5IXgk%2B6a%2BY1Viivj30IkCl065X8GSWgqnbGOJH69GYNl9jXWqt3b3Vkm63dGSY%2B5
四川卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
北京卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
北京卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8
广东卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
山东卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
山东卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226144/index.m3u8
山东卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226410/index.m3u8
东方卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000150.m3u8
深圳卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000155.m3u8
辽宁卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000159.m3u8
贵州卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000165.m3u8
安徽卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000167.m3u8
江西卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000173.m3u8
重庆卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000186.m3u8
天津卫视高清,http://39.135.34.157:18890/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000000831&owchid=ystenlive&owsid=1106497909461255731&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRcs9zLA6x183T6XfyDHK2Forh1U1TuZtCxYnIsImE91weAhYebQgGPi666EsPHwzC
东南卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
黑龙江卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8
黑龙江卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
黑龙江卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
湖北卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
江西卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
辽宁卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
辽宁卫视高清,http://39.135.34.150:18890/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000024033&owchid=ystenlive&owsid=1106497909461352974&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhQBci%2f2KtFqbPb5lYHzQlehPnBUBV7gDU5NsQ1fq2DyLArxZhG%2bC4a49jTs%2bwbEKo
重庆卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8
安徽卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8
安徽卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
河北卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
河南卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
贵州卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8
广西卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
海南卫视高清,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8
北京卫视高清,http://39.135.34.143:18890/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000017156&owchid=ystenlive&owsid=1106497909461249865&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRV7KOtBVuvtVZFLcgrBAOKYd9hOl8T7nV%2fYYLzxPrqZvxI1UedirhXiKrowSY0GL9
深圳卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8
深圳卫视高清,http://39.135.34.150:18890/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011645&owchid=ystenlive&owsid=1106497909461286475&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRi%2fGQBc72yY6Quo0JMFE7sAOH9P3BRKKjlume5S4R4Q4D5A%2fuxi3rN%2bHd%2bNxeQD8d
广东卫视高清,http://39.135.34.155:18890/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000028357&owchid=ystenlive&owsid=1106497909461262352&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaROVzE3kgfqbxbWUefjzmwWM6UWM1tPF3fcVILxO8TukKPE2BY%2fTje83gAnl%2fZNkb%2b
山东卫视高清,http://39.135.34.142:18890/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012807&owchid=ystenlive&owsid=1106497909461291586&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR3cBsIsjm7UHdGO3a4NjD1C4TiYtYt%2by66pvMI%2bkz57DAkgjzetftIzpJRR8RWa0K
重庆卫视高清,http://39.135.34.150:18890/000000001000/1000000002000018937/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000018937&owchid=ystenlive&owsid=1106497909461333042&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhUG5grAC0rFEDUfNPlNhZzLoghzkGon0cjoqXWi7%2bGPbWnsToB9Z5BcGamUzvzuTi
湖南卫视高清,http://39.134.52.182/wh7f454c46tw1696467131_1868720566/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221225981/index.m3u8
湖南卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000153.m3u8
浙江卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8
江苏卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000152.m3u8
黑龙江卫视高清,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&amp;&amp;playtoken=&amp;programid=4200000188.m3u8
北京卫视高清,http://223.110.243.173/PLTV/3/224/3221227246/index.m3u8
四川卫视高清,http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000080
安徽卫视高清,http://183.207.249.15/PLTV/3/224/3221225634/index.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
安徽卫视高清,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
安徽卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226045/index.m3u8
山东卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225737/index.m3u8
山东卫视高清,http://223.110.243.171/PLTV/3/224/3221227258/index.m3u8
山东卫视高清,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221226003/index.m3u8
山东卫视高清,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
广东卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225699/index.m3u8
广东卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225736/index.m3u8
广东卫视高清,http://223.110.243.136/PLTV/3/224/3221227249/index.m3u8
广西卫视高清,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
重庆卫视高清,http://118.123.60.9:8114/hls/index.m3u8?Fsv_chan_hls_se_idx=13&amp;FvSeid=1&amp;Fsv_ctype=LIVES&amp;Provider_id=&amp;Pcontent_id=.m3u8
贵州卫视高清,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5CA2B7CAU3090C010K77540044IFB84556FPBM3220A5DV1044EZ33519WE22942B42A1&amp;&amp;playtoken=&amp;programid=4200000251.m3u8
河北卫视高清,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5CA2B7CAU3090C010K77540044IFB84556FPBM3220A5DV1044EZ33519WE22942B42A1&amp;&amp;playtoken=&amp;programid=4200000253.m3u8
河南卫视高清,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5CA2B7CAU3090C010K77540044IFB84556FPBM3220A5DV1044EZ33519WE22942B42A1&amp;&amp;playtoken=&amp;programid=4200000312.m3u8
吉林卫视高清,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&amp;protocol=hls&amp;accesstoken=R5CA2B7CAU3090C010K77540044IFB84556FPBM3220A5DV1044EZ33519WE22942B42A1&amp;&amp;playtoken=&amp;programid=4200000313.m3u8
广西卫视高清,http://39.134.52.156/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226150/index.m3u8
陕西卫视高清,http://118.123.60.9:8114/hls/index.m3u8?Fsv_chan_hls_se_idx=28&amp;FvSeid=1&amp;Fsv_ctype=LIVES&amp;Provider_id=&amp;Pcontent_id=.m3u8
江苏卫视高清,http://111.40.205.76/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视高清,http://117.148.187.37/PLTV/88888888/224/3221226140/index.m3u8
江西卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225615/index.m3u8
江西卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226044/index.m3u8
浙江卫视高清,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
深圳卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视高清,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
湖北卫视高清,http://111.40.205.87/PLTV/88888888/224/3221225705/index.m3u8
湖南卫视高清,http://223.110.243.173/PLTV/3/224/3221227220/index.m3u8
湖南卫视高清,http://117.148.187.37/PLTV/88888888/224/3221226162/index.m3u8
湖南卫视高清,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221227191/index.m3u8
贵州卫视高清,http://223.82.250.72/live/guizhoustv/1.m3u8
贵州卫视高清,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/guizhoustv/1.m3u8
辽宁卫视高清,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
辽宁卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226049/index.m3u8
重庆卫视高清,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
黑龙江卫视高清,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221227492/index.m3u8
黑龙江卫视高清,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8
黑龙江卫视高清,http://223.110.243.169/PLTV/3/224/3221227252/index.m3u8
黑龙江卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221225980/index.m3u8
